,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Nouakchott,10,MR,1575856786,30,18.08,-15.98,69.8,13.87
375,Krasnystaw,100,PL,1575856786,93,50.98,23.16,39.2,14.99
376,Priekule,100,LV,1575856787,87,56.45,21.6,46.4,26.4
377,Kontagora,0,NG,1575857317,23,10.4,5.47,68.74,4.65
378,Fortuna,90,US,1575857154,93,40.6,-124.16,52.0,5.82
379,Fort Nelson,75,CA,1575857320,85,58.81,-122.69,10.4,3.36
380,Exu,75,BR,1575856787,48,-7.52,-39.72,84.2,8.05
381,Issoudun,83,FR,1575856787,87,46.95,1.99,46.99,19.46
382,Cananea,90,MX,1575856787,71,30.98,-110.3,55.4,6.93
383,Chapais,90,CA,1575857324,86,49.78,-74.86,26.6,12.75
384,Pundaguitan,100,PH,1575856787,79,6.37,126.17,81.52,8.7
385,Bela,67,PK,1575856787,29,26.23,66.31,68.43,0.58
386,Chimbote,98,PE,1575856727,81,-9.08,-78.59,67.33,3.29
387,Bihoro,20,JP,1575856788,57,43.75,144.14,23.0,5.82
388,La Palma,46,CO,1575856788,96,5.36,-74.39,66.69,2.3
389,Batagay-Alyta,43,RU,1575856788,68,67.8,130.41,-12.26,0.83
390,Asyut,0,EG,1575856788,66,27.18,31.19,53.6,4.7
391,Sarakhs,75,TM,1575856788,93,36.54,61.16,42.8,6.93
392,Kantemirovka,72,RU,1575856788,93,49.7,39.85,31.57,5.14
393,Payson,90,US,1575856788,98,40.04,-111.73,39.99,3.53
394,Pangai,40,TO,1575856788,66,-19.8,-174.35,86.0,12.75
395,Margate,100,AU,1575856789,38,-43.03,147.26,82.0,1.99
396,Umm Lajj,100,SA,1575856789,58,25.02,37.27,61.32,7.27
397,Rio Tuba,100,PH,1575856789,75,8.51,117.43,83.53,18.66
398,Emba,75,CY,1575856789,71,34.81,32.42,55.4,9.17
399,Sao Joaquim,83,BR,1575856789,98,-28.29,-49.93,57.25,4.07
400,Sao Miguel do Araguaia,41,BR,1575856789,81,-13.28,-50.16,74.55,3.04
401,Xai-Xai,100,MZ,1575856790,90,-25.04,33.64,70.52,7.78
402,Sheopur,16,IN,1575856790,55,25.67,76.7,60.75,4.03
403,Moron,18,HT,1575856790,82,18.56,-74.26,78.4,14.99
404,Maindargi,39,IN,1575856790,77,17.46,76.29,71.56,9.66
405,Zaragoza,16,SV,1575856791,69,13.59,-89.29,78.8,8.05
406,Ranong,20,TH,1575856791,69,9.96,98.62,78.8,8.05
407,Solnechnyy,94,RU,1575857352,83,50.72,136.64,-6.34,3.69
408,Grindavik,18,IS,1575857353,74,63.84,-22.43,28.4,1.12
409,Champerico,20,MX,1575857354,73,16.38,-93.6,73.4,9.17
410,Basoko,100,CD,1575856792,90,1.23,23.61,70.02,1.01
411,Swan Hill,69,AU,1575856792,6,-35.34,143.56,103.46,12.41
412,Belem de Sao Francisco,15,BR,1575856792,69,-8.75,-38.97,75.99,18.99
413,Keetmanshoop,91,NA,1575856792,77,-26.57,18.15,62.6,11.41
414,Hendersonville,75,US,1575856653,58,36.3,-86.62,57.99,9.17
415,Minyar,100,RU,1575856793,97,55.07,57.55,31.15,11.52
416,Leshukonskoye,100,RU,1575856793,84,64.9,45.76,28.53,12.88
417,Teyateyaneng,100,LS,1575856793,74,-29.15,27.74,60.06,5.23
418,Naze,0,NG,1575857364,95,5.43,7.07,73.72,3.2
419,Sao Paulo de Olivenca,74,BR,1575856793,94,-3.38,-68.87,74.23,2.01
420,Barreirinhas,16,BR,1575856793,84,-2.75,-42.83,76.12,5.44
421,Beauchamps,90,FR,1575856793,81,48.83,-1.36,51.01,20.8
422,Menemen,0,TR,1575856794,93,38.6,27.08,46.99,5.93
423,Abu Dhabi,0,AE,1575856552,88,24.47,54.37,69.8,1.12
424,Codrington,90,AU,1575857371,73,-28.95,153.24,80.6,8.05
425,Quatre Cocos,40,MU,1575856794,94,-20.21,57.76,75.2,3.36
426,Tsabong,1,BW,1575856794,39,-26.02,22.4,70.75,8.61
427,Nizhnyaya Salda,100,RU,1575856794,85,58.07,60.71,33.39,12.86
428,Lalsk,95,RU,1575856794,82,60.74,47.59,31.28,12.17
429,Pisco,40,PE,1575857377,83,-13.71,-76.2,69.8,9.17
430,Abu Kamal,62,SY,1575856794,55,34.45,40.92,52.77,8.03
431,Menongue,87,AO,1575857379,94,-14.66,17.68,58.64,4.16
432,Wewak,52,PG,1575856794,65,-3.55,143.63,85.19,5.53
433,Mopipi,95,BW,1575856794,58,-21.2,24.86,77.43,9.57
434,Conakry,30,GN,1575856528,71,9.52,-13.7,79.41,4.88
435,Havelock,90,US,1575856507,93,34.88,-76.9,64.4,5.82
436,Suhbaatar,100,MN,1575856795,88,50.23,106.21,11.71,2.13
437,Koryukivka,100,UA,1575856795,90,51.77,32.25,34.9,14.56
438,Hobyo,9,SO,1575856795,86,5.35,48.53,77.32,6.33
439,Bandarbeyla,0,SO,1575857387,82,9.49,50.81,80.31,12.75
440,Nha Trang,20,VN,1575856756,61,12.24,109.19,80.6,17.22
441,Phangnga,20,TH,1575856795,65,8.45,98.53,80.6,9.17
442,West Lafayette,90,US,1575856795,76,40.43,-86.91,51.8,9.17
443,Bulgan,76,MN,1575856795,83,48.81,103.53,11.98,4.92
444,Olovyannaya,4,RU,1575856795,93,50.94,115.59,0.63,2.8
445,Coquimbo,0,CL,1575857394,82,-29.95,-71.34,57.2,6.93
446,Beinamar,8,TD,1575857395,28,8.67,15.38,67.19,2.1
447,San Policarpo,56,PH,1575857396,82,12.18,125.51,82.04,9.91
448,Sohag,0,EG,1575857398,71,26.55,31.7,53.6,4.7
449,Mehamn,14,NO,1575857399,59,71.03,27.85,24.71,12.86
450,Dingle,100,PH,1575857400,83,11.0,122.67,80.28,15.97
451,Marsa Matruh,40,EG,1575857401,72,31.35,27.25,59.0,6.93
452,Rolla,75,US,1575857342,75,37.95,-91.77,48.2,10.29
453,Mbala,100,ZM,1575857403,95,-8.85,31.37,61.16,7.87
454,Aktau,75,KZ,1575857404,75,43.65,51.16,35.6,2.24
455,Port-Cartier,90,CA,1575857405,86,50.03,-66.88,28.0,21.92
456,Ulaangom,0,MN,1575857407,69,49.98,92.07,6.55,1.43
457,Lufilufi,75,WS,1575857409,79,-13.87,-171.6,86.0,3.36
458,Karaton,20,ID,1575857410,66,-6.34,106.1,87.01,2.24
459,Richards Bay,100,ZA,1575857411,71,-28.77,32.06,70.32,11.79
460,Sistranda,75,NO,1575857412,86,63.73,8.83,34.0,4.7
461,Millerovo,39,RU,1575857413,90,48.92,40.39,31.68,3.91
462,Peniche,75,PT,1575857415,93,39.36,-9.38,57.2,9.17
463,Komsomolskiy,100,RU,1575857416,95,67.55,63.78,20.39,15.28
464,Batemans Bay,48,AU,1575857417,82,-35.71,150.18,87.01,17.0
465,Chapada dos Guimaraes,40,BR,1575857418,88,-15.46,-55.75,77.0,3.36
466,Snasa,100,NO,1575857419,95,64.25,12.38,17.22,6.55
467,Gravelbourg,0,CA,1575857420,92,49.88,-106.56,-5.82,5.7
468,Ranau,75,MY,1575857421,74,5.95,116.67,84.2,3.36
469,Sola,100,TZ,1575857422,94,-3.17,33.8,64.42,6.49
470,Kirakira,100,SB,1575857423,79,-10.46,161.92,81.55,6.91
471,Powell River,75,CA,1575857425,100,49.84,-124.52,45.0,2.24
472,Pedernales,100,EC,1575857426,88,0.07,-80.05,73.27,2.89
473,Goya,0,AR,1575857427,57,-29.14,-59.27,71.74,5.41
474,Achit,100,RU,1575857428,97,56.8,57.9,33.12,15.17
475,Luangwa,100,MZ,1575857429,90,-15.62,30.4,74.41,2.55
476,Supe,99,PE,1575857281,83,-10.8,-77.72,65.73,2.1
477,Karratha,0,AU,1575857357,51,-20.74,116.85,85.3,11.41
478,Putina,40,PE,1575857433,43,-14.91,-69.87,55.4,4.7
479,Dolinsk,20,RU,1575857434,78,47.32,142.8,15.8,4.47
480,Challans,88,FR,1575857435,76,46.85,-1.88,52.0,18.34
481,Craig,90,US,1575857436,92,40.52,-107.55,32.0,3.36
482,Syumsi,100,RU,1575857437,97,57.11,51.61,33.82,10.85
483,Javanrud,91,IR,1575857439,92,34.8,46.49,27.86,3.47
484,Stykkisholmur,0,IS,1575857440,85,65.08,-22.73,23.05,5.88
485,Praia,75,BR,1575857441,77,-20.25,-43.81,68.0,6.93
486,Cooma,8,AU,1575857442,10,-36.24,149.13,86.0,13.87
487,Maniitsoq,49,GL,1575857443,27,65.42,-52.9,19.51,3.74
488,Kondagaon,0,IN,1575857444,63,19.59,81.66,68.18,2.15
489,Oranjemund,95,ZA,1575857445,95,-28.55,16.43,58.66,1.07
490,Xique-Xique,76,BR,1575857296,72,-10.82,-42.73,73.51,5.97
491,Maldonado,0,UY,1575857447,69,-34.91,-54.96,73.4,20.8
492,Tateyama,20,JP,1575857449,70,36.66,137.31,55.0,1.12
493,Xichang,74,CN,1575857450,85,27.88,102.25,34.75,3.78
494,Skibbereen,75,IE,1575857451,70,51.55,-9.27,46.4,38.03
495,Isakly,95,RU,1575857452,97,54.13,51.53,29.46,8.57
496,Ilebo,100,CD,1575857453,98,-4.33,20.59,67.73,1.45
497,Mombetsu,20,JP,1575857455,67,44.35,143.35,21.2,2.24
498,Mount Gambier,75,AU,1575857456,68,-37.83,140.78,66.2,13.87
499,Ketchikan,1,US,1575857365,81,55.34,-131.65,37.4,3.36
500,Bara,100,NG,1575857458,27,10.41,10.6,64.47,3.6
501,Alice Springs,0,AU,1575857459,4,-23.7,133.88,104.0,4.7
502,Yerofey Pavlovich,100,RU,1575857460,94,53.97,121.97,-13.94,1.97
503,Grants Pass,1,US,1575857182,93,42.44,-123.33,46.4,1.52
504,Tura,97,RU,1575857462,99,64.27,100.22,-7.47,2.86
505,Bonavista,98,CA,1575857463,82,48.65,-53.11,25.0,21.99
506,Vanimo,80,PG,1575857465,75,-2.67,141.3,84.07,10.63
507,Natal,20,BR,1575857466,74,-5.81,-35.21,80.6,11.41
508,Manaus,47,BR,1575857311,88,-3.13,-59.98,78.8,4.7
509,Gallup,75,US,1575857340,75,35.53,-108.74,42.8,11.41
510,Flin Flon,94,CA,1575857469,87,54.77,-101.88,-4.7,7.78
511,Sabha,71,LY,1575857470,33,27.03,14.43,58.71,13.18
512,Tallahassee,90,US,1575857183,93,30.44,-84.28,64.4,3.36
513,Maxixe,99,MZ,1575857473,85,-23.86,35.35,74.75,5.66
514,Maputo,100,MZ,1575857474,92,-25.97,32.57,69.01,7.0
515,Mataquescuintla,40,GT,1575857475,77,14.53,-90.19,64.4,9.17
516,Haines Junction,100,CA,1575857476,98,60.75,-137.51,30.97,6.55
517,Carlsbad,20,CZ,1575857477,81,50.23,12.87,46.0,12.75
